FIPS_final,Name_final,group,superclus2,sample,count,unemployed,lastworked_pastyr,male,age25,agemed,age75,a2534,a3544,a4554,a5564,whiteNH,blackNH,latino,asianNH,otherNH,insch,lths,hs,sc,aa,baplus,dis,fb,lep,married,children,nospouse_kids,snap,fincpadj
6037b,"Los Angeles County (excluding Los Angeles city), CA",4,1,3821,126021.0233805003,.16752596,.12591958,.27792162,51,56,60,0,.11099997,.2506085,.63839149,.11430881,.026309017,.66827726,.18393414,.007170755,.0016448353,.62498665,.37501332,0,0,0,.15387884,.79000962,.77052033,.63058358,.038880233,.01136494,.15012786,48562.81706889741
6037b,"Los Angeles County (excluding Los Angeles city), CA",5,5,2769,99981.9992908275,.41732341,.24064349,.38069156,30,38,47,.41525784,.26717827,.31670594,.00085794477,.26344097,.12170161,.40377861,.17473631,.036342509,.070340388,0,0,.76289749,.23710252,0,.099924706,.3443388,.20776445,.42006949,.3573989,.13883777,.19232409,45104.78164919707
6037b,"Los Angeles County (excluding Los Angeles city), CA",6,7,1268,43395.4919885409,.46493354,.40150383,.36289686,28,32,41,.62708926,.20940804,.16350266,0,.34862792,.056558527,.19991043,.35414717,.04075595,.030255102,0,0,0,0,1,.042508345,.46382424,.25176397,.53547275,.50929618,.13501814,.089841411,55570.152
6059c,"Orange County, CA",ALL,,6606,246667.7911262922,.267492,.22659689,.33262113,35,47,56,.22612342,.22259817,.2555286,.29574984,.36441511,.015406866,.36644131,.23143792,.022298781,.014634412,.27133483,.21700245,.19499883,.068748951,.24791494,.1093391,.51948941,.37948999,.58705515,.2892901,.077523269,.18573274,50481.09882421769
6059c,"Orange County, CA",1,1,2459,93381.07964582088,.19841601,.1420904,.29332981,42,49,56,.00022311296,.33844182,.33668667,.32464838,.2262066,.011610163,.53651065,.20972578,.015946791,.002360791,.56311351,.43688649,0,0,0,.14102845,.68332505,.60775775,.6328944,.31960508,.073933743,.25533411,40384.87905937415
6059c,"Orange County, CA",2,4,1422,49322.41159747293,.30561885,.25512245,.33685991,45,53,59,0,.24243464,.32673597,.43082938,.56280917,.016973859,.1845894,.20937815,.026249392,.025435623,0,0,.71990752,.28009245,0,.12487963,.3625277,.19733725,.62677753,.22660853,.049650844,.13830803,60296.11807999999
6059c,"Orange County, CA",3,5,384,15735.67044805962,.48367688,.40995941,.44252238,27,29,32,1,0,0,0,.36788389,.023523871,.38827178,.1894798,.030840671,.087840296,0,0,.80024266,.19975735,0,.068467401,.25676194,.11095192,.30527407,.27167422,.10716449,.18938522,52485.56410088386
6059c,"Orange County, CA",4,3,655,27076.00017636679,.22538678,.21727425,.29219016,27,29,32,1,0,0,0,.13865434,.012191922,.72118181,.10586705,.022104889,.0065532681,.52982044,.47017959,0,0,0,.062132403,.57157236,.47651234,.42933849,.46132013,.17991053,.33335763,39769.0096537187
6059c,"Orange County, CA",5,7,1057,39766.23280500671,.35939837,.31700283,.35683712,32,40,49,.32552388,.28532428,.38915184,0,.45281801,.02296184,.11690885,.37601489,.031296425,.011584776,0,0,0,0,1,.068082437,.47130075,.20428224,.56329113,.31825408,.071303084,.056574579,73295.27017994523
6059c,"Orange County, CA",6,6,629,21386.39645356494,.20452398,.23858319,.41970268,57,59,62,0,0,0,1,.6292308,.012420885,.042058069,.29813725,.01815303,.0053535579,0,0,0,0,1,.10168248,.38308737,.20341174,.74648511,.042791605,.017607668,.041772764,102510.8673845388
